"Event ID","Event Name","Crew ID","Crew Name","Club Name","Band","Group",
"118791","Op 1x","1027659","BED-BAKER","Bedford Rowing Club","","",
"118791","Op 1x","1027661","BED-DINGLEY","Bedford Rowing Club","","",
"118791","Op 1x","1027660","BED-TODD","Bedford Rowing Club","","",
"118791","Op 1x","1027235","BIR-BYFORD","Birmingham Rowing Club","","",
"118791","Op 1x","1028726","BRX-CHEALE","Broxbourne Rowing Club","","",
"118791","Op 1x","1028728","BRX-ROBINSON","Broxbourne Rowing Club","","",
"118791","Op 1x","1029083","BUR-BARRETT","Burway Rowing Club","","",
"118791","Op 1x","1027143","CAB-ADAMS","Cantabrigian Rowing Club","","",
"118791","Op 1x","1029675","CAB-BOUKHATMI","Cantabrigian Rowing Club","","",
"118791","Op 1x","1027533","CAB-BURFEIND","Cantabrigian Rowing Club","","",
"118791","Op 1x","1029676","CAB-COLLINS","Cantabrigian Rowing Club","","",
"118791","Op 1x","1027901","CAB-MCCREE-GREY","Cantabrigian Rowing Club","","",
"118791","Op 1x","1029643","CSH-SCHOFIELD","Sheffield, City Of, Rowing Club","","",
"118791","Op 1x","1029678","CSH-TAPLEY","Sheffield, City Of, Rowing Club","","",
"118791","Op 1x","1029677","CSH-TURNBULL","Sheffield, City Of, Rowing Club","","",
"118791","Op 1x","1028761","CUR-WEEKES","Curlew Rowing Club","","",
"118791","Op 1x","1029197","CYG-HARRIES","Cygnet Rowing Club","","",
"118791","Op 1x","1027007","ETX-MILNE","Eton Excelsior Rowing Club","","",
"118791","Op 1x","1027473","EXE-SHEPHERD","Exeter Rowing Club Ltd","","",
"118791","Op 1x","1028684","FSC-DE PAOLI","Furnivall Sculling Club","","",
"118791","Op 1x","1029048","FSC-DICKINSON","Furnivall Sculling Club","","",
"118791","Op 1x","1029710","FUL-PRADERA ANLLO","Fulham Reach Boat Club","","",
"118791","Op 1x","1028961","FUL-THOMAS","Fulham Reach Boat Club","","",
"118791","Op 1x","1028014","GRI-GARROW","Griffen, The, Boat Club","","",
"118791","Op 1x","1029740","HEN-MAYTUM","Henley Rowing Club","","",
"118791","Op 1x","1029733","IMP-HINES","Imperial College Boat Club","","",
"118791","Op 1x","1028648","IMP-RIBLAHHHH","Imperial College Boat Club","","",
"118791","Op 1x","1028885","IPS-HORN","Ipswich Rowing Club","","",
"118791","Op 1x","1029486","KCS-WINCHESTER","Kings College School Boat Club","","",
"118791","Op 1x","1026997","LDR-KIRKWOOD","Leander Club","","",
"118791","Op 1x","1027593","LEA-HUSSANI","Lea Rowing Club","","",
"118791","Op 1x","1029102","LEA-MUGGLETON","Lea Rowing Club","","",
"118791","Op 1x","1027573","LEA-STEVENSON","Lea Rowing Club","","",
"118791","Op 1x","1028465","LRC-BROOKS","London Rowing Club","","",
"118791","Op 1x","1029722","LRC-COLE","London Rowing Club","","",
"118791","Op 1x","1029729","LRC-GOLDING","London Rowing Club","","",
"118791","Op 1x","1028915","LRC-HEAP","London Rowing Club","","",
"118791","Op 1x","1028461","LRC-MEREDITH","London Rowing Club","","",
"118791","Op 1x","1028462","LRC-STUART","London Rowing Club","","",
"118791","Op 1x","1029203","M.Matt","Southampton University Boat Club","","",
"118791","Op 1x","1026827","Mackworth-Praed","Auriol Kensington Rowing Club","","",
"118791","Op 1x","1027099","Matt Farley","Bedford Rowing Club","","",
"118791","Op 1x","1028514","MBC-HARRIS","Molesey Boat Club","","",
"118791","Op 1x","1029640","MBC-RALLEY","Molesey Boat Club","","",
"118791","Op 1x","1029638","MBC-WATKINS","Molesey Boat Club","","",
"118791","Op 1x","1027048","MED-BLAIR","Medway Towns Rowing Club","","",
"118791","Op 1x","1029691","OXB-HUME","Oxford Brookes University Boat Club","","",
"118791","Op 1x","1027769","PET-PLUMB-2","Peterborough City Rowing Club","","",
"118791","Op 1x","1027609","PTR-BENTON","Putney Town Rowing Club","","",
"118791","Op 1x","1027538","PTR-DISERENS-J","Putney Town Rowing Club","","",
"118791","Op 1x","1026956","PTR-DISERENS-S","Putney Town Rowing Club","","",
"118791","Op 1x","1028848","PTR-O'DONNELL","Putney Town Rowing Club","","",
"118791","Op 1x","1027649","PTR-PERCIVAL","Putney Town Rowing Club","","",
"118791","Op 1x","1029018","PTR-RUSSELL","Putney Town Rowing Club","","",
